,Portfolio
2023-10-31,1.0
2023-11-30,93.45687574657553
2023-12-31,698.8473392691936
2024-01-31,966.3084495355203
2024-02-29,2509.1584294573145
2024-03-31,3474.4239719333073
2024-04-30,8564.807977574097
2024-05-31,11154.060657740745
2024-06-30,10647.44377220295
2024-07-31,10049.716927709887
2024-08-31,22605.669848171012
2024-09-30,32233.11690568305
2024-10-31,60247.50448075973
2024-11-30,123103.41141194002
2024-12-31,174930.50899641172
2025-01-31,549208.5038958162
2025-02-28,896560.817192165
2025-03-31,3654735.550774794
2025-04-30,4994057.914474277
2025-05-31,12650623.223045344
2025-06-30,11114289.350158859
2025-07-31,12157455.76577058
2025-08-31,32272563.92850606
2025-09-30,1379063899.4176276
2025-10-31,85794072885.42227
