ISIN,Issuer,Exp_Return,Yield,Modified,Is_HY,weight
XS1186176571,HEATHROW FUNDING LTD,0.03493168885808107,0.2483759641647339,0.2918860770800986,True,0.04999999999999999
XS2698603326,OTP BANK NYRT,0.002933082987198743,0.09029579162597655,0.8729354469959472,False,0.04999999999999999
XS2555420103,UNICREDIT SPA,-0.0068506545324171775,0.07257159352302552,0.9951104459265293,True,0.04999999999999999
XS2705604077,BANCO SANTANDER SA,-0.0032665045018638317,0.06819422841072083,0.9375490547214079,False,0.04999999999999999
XS2697483118,ING BANK NV,-0.0023421903592639737,0.0648302733898163,0.9036774032948961,False,0.04999999999999999
XS2616008541,SIKA CAPITAL BV,-0.004421847796931777,0.06199893355369568,0.9119716650685993,False,0.04999999999999999
XS2555218291,BOOKING HOLDINGS INC,-0.001002922998026845,0.0608257532119751,0.9418649964233528,False,0.04999999999999999
XS2710354544,NATIONWIDE BLDG SOCIETY,-0.0052351523235514286,0.06230774521827698,0.9801183362770668,False,0.04999999999999999
XS2554746185,ING GROEP NV,-0.005605246552347953,0.06363377571105958,1.0092152531874994,False,0.04999999999999999
XS2712746960,COOPERATIEVE RABOBANK UA,-0.009587375524366726,0.056045949459075935,0.9963249280774816,False,0.04999999999999999
XS2553798443,SKANDINAVISKA ENSKILDA,0.000604253671625532,0.05638753771781922,1.010808404485863,False,0.04999999999999999
BE0002900810,KBC GROUP NV,-0.0012479528142845808,0.05778502225875855,1.0425082544680215,False,0.04999999999999999
XS2708354811,CA AUTOBANK SPA IE,0.004587889536256995,0.05500823855400086,1.1253186744796084,False,0.04999999999999999
XS2063268754,INT DISTRIBUTION SERV,0.024262104808816964,0.03401503562927246,0.741887948516279,False,0.04999999999999999
XS2625968693,BMW FINANCE NV,0.003914451232291061,0.0477620005607605,1.0599146957340833,False,0.04999999999999999
XS2720896047,LEASYS SPA,0.0016452039367402804,0.052371314167976385,1.1865565408820997,False,0.04999999999999999
XS2607381436,SECURITAS TREASURY IRELA,-0.007085394275818446,0.050533115863800056,1.1605587149630947,False,0.04999999999999999
XS2637963146,ABN AMRO BANK NV,-0.003458751889191314,0.04803783893585206,1.1300091676532573,False,0.04999999999999999
XS1511787589,MORGAN STANLEY,0.0,0.041635870933532715,1.015039432261042,False,0.04999999999999999
XS2398745922,BLACKSTONE PP EUR HOLD,0.04135892106217076,0.03138087391853332,0.7756591444990888,False,0.04999999999999999
